,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Logistic Regression,Training,1.0,1.0,1.0,1.0,106,0,174,0
1,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,106,0,174,0
2,Random Forest Classifier,Testing,1.0,1.0,1.0,1.0,44,0,76,0
3,Gradient Naive Bayes,Testing,0.7755102040816326,0.6333333333333333,1.0,0.6333333333333333,0,44,76,0
4,Logistc Regression,Testing,0.9933774834437086,1.0,0.9868421052631579,0.9916666666666667,44,0,75,1
5,Bernoulli Naive Bayes,Testing,0.9933774834437086,1.0,0.9868421052631579,0.9916666666666667,44,0,75,1
6,Support Vector Classifier,Testing,0.9933774834437086,1.0,0.9868421052631579,0.9916666666666667,44,0,75,1
7,Stochastic Gradient Decent,Testing,0.9933774834437086,1.0,0.9868421052631579,0.9916666666666667,44,0,75,1
8,Support Vector Classifier,Training,0.9942196531791908,1.0,0.9885057471264368,0.9928571428571429,106,0,172,2
9,Stochastic Gradient Decent,Training,0.9942196531791908,1.0,0.9885057471264368,0.9928571428571429,106,0,172,2
10,k nearest Neighbour,Testing,0.958904109589041,1.0,0.9210526315789473,0.95,44,0,70,6
11,Bernoulli Naive Bayes,Training,0.9794721407624634,1.0,0.9597701149425287,0.975,106,0,167,7
12,k nearest Neighbour,Training,0.9794721407624634,1.0,0.9597701149425287,0.975,106,0,167,7
13,Gradient Naive Bayes,Training,0.9673590504451038,1.0,0.9367816091954023,0.9607142857142857,106,0,163,11
